Anio,Nomestado,Nomddr,Nomcader,Nommunicipio,Nomcicloproductivo,Nommodalidad,Nomunidad,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Rendimiento,Precio,Valorproduccion
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,1175.0,1175.0,0.0,27.72,571.74,18622143.54
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Otoño-Invierno,Riego,Tonelada,Brócoli,15.0,15.0,0.0,19.71,3950.0,1167620.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Avena forrajera en verde,160.0,160.0,0.0,27.2,586.25,2551360.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Brócoli,20.0,20.0,0.0,15.33,4166.4,1277418.24
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Chile verde,6.48,6.48,0.0,48.38,14279.71,4476687.99
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Fresa,5.0,5.0,0.0,46.0,16975.13,3904279.9
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,3000.0,3000.0,0.0,64.65,752.64,145974528.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Maíz grano,620.0,620.0,0.0,7.54,3372.91,15768354.25
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Sorgo forrajero en verde,147.0,147.0,0.0,56.22,582.54,4814308.62
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),18.0,18.0,0.0,137.28,22741.36,56193895.17
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Tomate verde,27.0,27.0,0.0,18.93,3708.82,1895207.02
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Riego,Tonelada,Zanahoria,3.0,3.0,0.0,28.53,3122.07,267249.19
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Temporal,Tonelada,Avena forrajera en verde,235.0,235.0,0.0,8.5,515.0,1028712.5
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Temporal,Tonelada,Frijol,490.0,490.0,0.0,0.39,8239.51,1574570.36
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,13120.0,13120.0,0.0,10.4,608.65,83049075.2
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Temporal,Tonelada,Maíz grano,5105.0,5105.0,0.0,0.52,4117.52,10930368.59
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Primavera-Verano,Temporal,Tonelada,Sorgo forrajero en verde,120.0,120.0,0.0,10.35,588.2,730544.4
2020,Aguascalientes,Aguascalientes,Aguascalientes,Aguascalientes,Perennes,Riego,Tonelada,Alfalfa verde,1339.0,1339.0,0.0,97.01,653.16,84846006.53
